gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	270.4984	0.04338421	0.10539184	0.4933706	0.8542454
ENSMUSG00000000028	9.86893	-0.02783535	0.14309659	0.3439934	0.7769303
ENSMUSG00000000031	0.1882329	-0.007614094	0.24094863	0.5380685	NA
ENSMUSG00000000037	15.43518	0.005598179	0.13592401	0.86302	0.9696607
ENSMUSG00000000049	0.4174903	0.001459899	0.21926171	0.9037173	NA
ENSMUSG00000000056	369.1925	-0.0342824	0.11028569	0.5752389	0.8855806
ENSMUSG00000000058	96.61421	-0.09939803	0.136143	0.06816493	0.5009647
ENSMUSG00000000078	189.9656	-0.02691557	0.11915433	0.6247407	0.90452
ENSMUSG00000000085	424.9769	-0.1237752	0.13885475	0.03516368	0.4034937
ENSMUSG00000000088	418.5324	0.001503386	0.10645966	0.9807609	0.9952804
ENSMUSG00000000093	8.31558	-0.02640879	0.14764578	0.3128657	0.7629523
ENSMUSG00000000094	5.876696	-0.1387024	0.61045616	0.009807403	0.2633539
ENSMUSG00000000120	32.10354	0.0136925	0.13695534	0.6683162	0.9178646
ENSMUSG00000000125	20.63367	-0.04353155	0.13375684	0.3065445	0.7587032
ENSMUSG00000000126	4.54768	-0.01506067	0.15241757	0.4558717	0.8384456
ENSMUSG00000000127	244.2673	-0.09407819	0.11202455	0.1397126	0.6035701
ENSMUSG00000000131	778.7029	-0.05280857	0.09524603	0.4164415	0.8200442
ENSMUSG00000000134	176.1876	0.03599778	0.11171866	0.5519558	0.8776419
ENSMUSG00000000142	173.8638	0.05804164	0.11020243	0.3506046	0.7792701
ENSMUSG00000000148	161.0406	-0.02251478	0.11003645	0.7120104	0.9300237
ENSMUSG00000000149	714.4315	0.0929821	0.10556725	0.1536734	0.6164121
ENSMUSG00000000154	2.894228	-0.005962398	0.14930779	0.7501329	0.9385864
ENSMUSG00000000159	2.101526	0.006025894	0.15369735	0.7250884	0.9340929
ENSMUSG00000000167	13.17673	-0.007797695	0.13930268	0.7784955	0.9457488
ENSMUSG00000000168	597.4431	0.09781577	0.1025686	0.1369159	0.6011148
ENSMUSG00000000171	378.8207	-0.02379509	0.10290501	0.708437	0.9283804
ENSMUSG00000000182	2.203602	0.01444582	0.15816922	0.4365474	0.8276664
ENSMUSG00000000184	289.6642	-0.0459379	0.12922951	0.3332011	0.7722377
ENSMUSG00000000194	343.1338	0.07822164	0.11790697	0.1925255	0.6621194
ENSMUSG00000000197	1522.17	0.02577259	0.08150491	0.6814934	0.9210301
ENSMUSG00000000202	80.01218	0.05035618	0.1322704	0.2687564	0.7303529
ENSMUSG00000000204	0.174983	-0.006955843	0.23872652	0.570669	NA
ENSMUSG00000000214	73.81575	0.02061119	0.13512272	0.5647174	0.8815486
ENSMUSG00000000215	0.1421733	-0.006785545	0.23809883	0.5794787	NA
ENSMUSG00000000216	2.093501	0.0206715	0.20524342	0.2339423	0.6965278
ENSMUSG00000000223	607.4827	-0.0646233	0.10786954	0.3075077	0.7591957
ENSMUSG00000000244	1.244985	-0.0203665	0.23829367	0.2220025	NA
ENSMUSG00000000247	90.15544	-0.05737633	0.12642965	0.2685262	0.7301443
ENSMUSG00000000248	0.08261244	-0.002382273	0.22736734	0.8405298	NA
ENSMUSG00000000253	272.0108	0.0139113	0.11517705	0.8095089	0.9549544
ENSMUSG00000000263	4.544431	0.05762839	0.27370544	0.04206417	0.428068
ENSMUSG00000000266	420.0551	0.01919256	0.11227669	0.7478781	0.9384727
ENSMUSG00000000275	73.18031	-0.07720978	0.17443441	0.04205726	0.428068
ENSMUSG00000000276	752.1026	-0.0106348	0.09237342	0.869192	0.9711327
ENSMUSG00000000278	68.61924	0.2367928	0.16964089	0.001642246	0.1193386
ENSMUSG00000000282	117.8977	-0.0297816	0.12875932	0.5117464	0.8605493
ENSMUSG00000000290	38.9876	-0.03394503	0.13540212	0.3782391	0.7984581
ENSMUSG00000000295	78.99564	-0.0006354964	0.11642356	0.9910457	0.9979582
ENSMUSG00000000296	103.4728	0.03806097	0.12021957	0.4876881	0.8510077
ENSMUSG00000000301	6.515906	0.008475009	0.14450088	0.7031148	0.927191
ENSMUSG00000000303	3.162172	0.04809231	0.29263288	0.05793095	0.4776731
ENSMUSG00000000305	389.2227	-0.06840485	0.11992544	0.2374716	0.7006671
ENSMUSG00000000308	849.7568	0.03136186	0.10700167	0.6158019	0.9017268
ENSMUSG00000000317	7.026838	0.03568487	0.15225704	0.1995505	0.6673329
ENSMUSG00000000318	1.47205	0.01852146	0.21188542	0.2616139	NA
ENSMUSG00000000320	4.083469	-0.009613016	0.14971384	0.621064	0.9040662
ENSMUSG00000000325	171.0075	0.09394973	0.11112499	0.1418494	0.60526
ENSMUSG00000000326	403.2661	0.07190591	0.11451773	0.2395056	0.7028277
ENSMUSG00000000339	192.741	-0.02935461	0.11205876	0.6252724	0.9046707
ENSMUSG00000000340	148.7119	-0.0428411	0.12717977	0.3815648	0.8017099
ENSMUSG00000000346	428.4715	-0.03314773	0.0997552	0.6065978	0.8979836
ENSMUSG00000000355	147.0373	-0.04386148	0.12025482	0.4275557	0.8246681
ENSMUSG00000000359	2.482797	-0.0002995631	0.15426998	0.9853174	0.9965184
ENSMUSG00000000365	11.73405	-0.05222754	0.15475351	0.1145031	0.5820013
ENSMUSG00000000374	892.9476	-0.04313023	0.08446083	0.4978137	0.854869
ENSMUSG00000000378	284.6404	-0.01536934	0.11909134	0.7783328	0.9457488
ENSMUSG00000000384	118.1682	0.04569972	0.11730482	0.4276408	0.8246681
ENSMUSG00000000386	1.526758	0.008858936	0.17394947	0.5538407	NA
ENSMUSG00000000392	3.377443	-0.00926311	0.14683767	0.6561836	0.9147417
ENSMUSG00000000399	482.9869	0.01322239	0.10583895	0.8327976	0.961997
ENSMUSG00000000402	8.991361	-0.01723758	0.14096606	0.5359099	0.87016
ENSMUSG00000000409	12.54848	0.07337445	0.23179071	0.02897332	0.3781532
ENSMUSG00000000411	1.164657	-0.01651512	0.21482762	0.2954338	NA
ENSMUSG00000000416	1358.814	-0.07254266	0.12254939	0.2013389	0.6696612
ENSMUSG00000000420	454.5489	-0.02368454	0.11460612	0.6848651	0.9224071
ENSMUSG00000000439	228.5972	-0.007800504	0.1056674	0.9009157	0.9782304
ENSMUSG00000000440	6.18901	-0.04455491	0.15590028	0.1379823	0.6029071
ENSMUSG00000000441	622.0617	0.04874084	0.08138333	0.4379173	0.8278993
ENSMUSG00000000486	0.4471045	-0.007712933	0.20586924	0.5659881	NA
ENSMUSG00000000489	77.21797	0.002042299	0.11434888	0.9719882	0.9920264
ENSMUSG00000000530	71.43787	-0.00419648	0.13107394	0.9161471	0.9812151
ENSMUSG00000000531	180.6975	0.02650584	0.12627111	0.5798932	0.8880664
ENSMUSG00000000532	702.5388	0.03801744	0.08279846	0.5473906	0.8759842
ENSMUSG00000000538	1342.133	-0.06912386	0.10340562	0.2846812	0.7430827
ENSMUSG00000000544	0.1155471	0	0.22572474	1	NA
ENSMUSG00000000552	72.36379	-0.0301204	0.13577763	0.4174187	0.8201457
ENSMUSG00000000555	45.71987	-0.03768231	0.14209861	0.2615832	0.7229326
ENSMUSG00000000560	506.3089	-0.03787765	0.11523482	0.5175385	0.862858
ENSMUSG00000000561	375.9186	0.06167402	0.10317626	0.3383348	0.7743546
ENSMUSG00000000562	5.203029	-0.01502083	0.14797557	0.4935928	0.8543417
ENSMUSG00000000563	1100.994	-0.1142818	0.109898	0.08131024	0.5288334
ENSMUSG00000000567	104.7493	-0.08479845	0.13388521	0.104796	0.5726807
ENSMUSG00000000568	924.4624	-0.1120537	0.1166567	0.07895621	0.5224697
