gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	270.4984	0.004320077	0.05408176	0.8056543	0.9959254
ENSMUSG00000000028	9.86893	0.005751218	0.06910607	0.436725	0.977655
ENSMUSG00000000031	0.1882329	0.0001076391	0.07558153	0.9349665	NA
ENSMUSG00000000037	15.43518	0.009911916	0.06974428	0.2644336	0.9407565
ENSMUSG00000000049	0.4174903	-8.850847e-06	0.07422901	0.9949507	NA
ENSMUSG00000000056	369.1925	-0.01994841	0.0650226	0.2810577	0.9447288
ENSMUSG00000000058	96.61421	-0.009714899	0.06487851	0.4967161	0.9833475
ENSMUSG00000000078	189.9656	0.002420558	0.06124728	0.8724052	0.9970857
ENSMUSG00000000085	424.9769	-0.02104217	0.07037862	0.1893552	0.9002538
ENSMUSG00000000088	418.5324	0.01948432	0.06321717	0.3042294	0.9545599
ENSMUSG00000000093	8.31558	-0.002476646	0.06894988	0.6976203	NA
ENSMUSG00000000094	5.876696	-0.004161067	0.07097721	0.2365367	NA
ENSMUSG00000000120	32.10354	-0.006957456	0.06890213	0.4098479	0.975772
ENSMUSG00000000125	20.63367	-0.004244929	0.0660177	0.7126667	0.9945077
ENSMUSG00000000126	4.54768	-0.001872404	0.06953949	0.6866375	NA
ENSMUSG00000000127	244.2673	-0.02172028	0.06493431	0.2598069	0.9407565
ENSMUSG00000000131	778.7029	0.001227218	0.04855046	0.9446157	0.9983069
ENSMUSG00000000134	176.1876	-0.01349713	0.06101238	0.4438425	0.9784469
ENSMUSG00000000142	173.8638	0.01743437	0.0620931	0.3479369	0.9678659
ENSMUSG00000000148	161.0406	0.0216019	0.06580561	0.2531911	0.9373433
ENSMUSG00000000149	714.4315	0.02300144	0.06370296	0.2530376	0.9373433
ENSMUSG00000000154	2.894228	-0.001389171	0.06963982	0.7424793	NA
ENSMUSG00000000159	2.101526	0.004257996	0.07081618	0.2442584	NA
ENSMUSG00000000167	13.17673	-0.005001282	0.06902507	0.4862324	0.9833475
ENSMUSG00000000168	597.4431	0.01142933	0.05458607	0.5358993	0.9833475
ENSMUSG00000000171	378.8207	-1.121551e-05	0.05289248	0.9994896	1
ENSMUSG00000000182	2.203602	0.005992343	0.07150709	0.139602	NA
ENSMUSG00000000184	289.6642	-0.01160346	0.06752273	0.3655	0.9705954
ENSMUSG00000000194	343.1338	0.01780335	0.06544098	0.3056981	0.9551794
ENSMUSG00000000197	1522.17	-0.01299124	0.04679832	0.475557	0.9833475
ENSMUSG00000000202	80.01218	0.01135705	0.06777429	0.3608701	0.9687761
ENSMUSG00000000204	0.174983	-0.0005876987	0.07705642	0.660949	NA
ENSMUSG00000000214	73.81575	-0.002998027	0.06743282	0.7497248	0.9953725
ENSMUSG00000000215	0.1421733	-0.0005178947	0.07675545	0.697728	NA
ENSMUSG00000000216	2.093501	0.001222343	0.07012488	0.691262	NA
ENSMUSG00000000223	607.4827	-0.02685832	0.06835742	0.1854634	0.8976294
ENSMUSG00000000244	1.244985	0.0004050148	0.07089328	0.8486759	NA
ENSMUSG00000000247	90.15544	0.01947057	0.07049795	0.191169	0.9016756
ENSMUSG00000000248	0.08261244	-6.623375e-05	0.0755546	0.9599356	NA
ENSMUSG00000000253	272.0108	-0.03041276	0.07482187	0.1095904	0.8551725
ENSMUSG00000000263	4.544431	0.007380922	0.07092233	0.1496793	NA
ENSMUSG00000000266	420.0551	-0.03065454	0.07395804	0.1191801	0.8633065
ENSMUSG00000000275	73.18031	0.006282089	0.06865573	0.4611561	0.9833475
ENSMUSG00000000276	752.1026	-0.0009933304	0.04751236	0.9549998	0.9983069
ENSMUSG00000000278	68.61924	0.03019958	0.0713862	0.1442886	0.8817938
ENSMUSG00000000282	117.8977	0.007988904	0.06648834	0.5126528	0.9833475
ENSMUSG00000000290	38.9876	0.004669599	0.06710662	0.6502093	0.9918021
ENSMUSG00000000295	78.99564	0.002765	0.05949563	0.8624359	0.9968315
ENSMUSG00000000296	103.4728	-0.002861073	0.06105153	0.8508685	0.9967687
ENSMUSG00000000301	6.515906	-0.0001223775	0.06910306	0.9826072	NA
ENSMUSG00000000303	3.162172	0.003881819	0.07030239	0.325898	NA
ENSMUSG00000000305	389.2227	-0.002942896	0.06036768	0.8501331	0.9967563
ENSMUSG00000000308	849.7568	-0.00900529	0.0573645	0.6083069	0.9907391
ENSMUSG00000000317	7.026838	-0.01040134	0.07037099	0.2028047	NA
ENSMUSG00000000318	1.47205	0.001562504	0.07070106	0.5460044	NA
ENSMUSG00000000320	4.083469	-0.006348191	0.07072151	0.1819996	NA
