gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000001	270.4984	0.01124767	0.10160488	0.8548073	0.9741102
ENSMUSG00000000028	9.86893	0.04243949	0.14967103	0.1288046	0.6092872
ENSMUSG00000000031	0.1882329	-0.0004833665	0.15215403	0.9279987	NA
ENSMUSG00000000037	15.43518	0.01562308	0.13231169	0.6276625	0.9168019
ENSMUSG00000000049	0.4174903	-0.001153824	0.15142453	0.8430508	NA
ENSMUSG00000000056	369.1925	-0.1049559	0.11300078	0.08336793	0.5473984
ENSMUSG00000000058	96.61421	-0.2057164	0.21680797	0.003039352	0.1851806
ENSMUSG00000000078	189.9656	-0.05309513	0.11721096	0.3195544	0.7796383
ENSMUSG00000000085	424.9769	-0.138564	0.15000506	0.01844825	0.344584
ENSMUSG00000000088	418.5324	0.0280727	0.10412372	0.6428311	0.9214945
ENSMUSG00000000093	8.31558	-0.00177187	0.13677128	0.9412499	0.9912937
ENSMUSG00000000094	5.876696	-0.06167441	0.2773281	0.004109031	0.2078744
ENSMUSG00000000120	32.10354	0.002262848	0.13204331	0.9416615	0.9912937
ENSMUSG00000000125	20.63367	0.01251166	0.12621846	0.7528436	0.9506166
ENSMUSG00000000126	4.54768	-0.01117839	0.14200333	0.5503957	NA
ENSMUSG00000000127	244.2673	-0.02886597	0.1048635	0.6315579	0.9174473
ENSMUSG00000000131	778.7029	-0.08044954	0.09307178	0.2069052	0.6920841
ENSMUSG00000000134	176.1876	0.04707097	0.10831949	0.4234243	0.8346114
ENSMUSG00000000142	173.8638	0.03227395	0.10524577	0.5910173	0.9036793
ENSMUSG00000000148	161.0406	-0.01239415	0.10646968	0.8340705	0.9701362
ENSMUSG00000000149	714.4315	0.01379334	0.09977431	0.8242293	0.9676416
ENSMUSG00000000154	2.894228	0.00975199	0.14288733	0.5685455	NA
ENSMUSG00000000159	2.101526	0.003438003	0.14266921	0.8260667	NA
ENSMUSG00000000167	13.17673	0.01188374	0.13584425	0.6576731	0.9265129
ENSMUSG00000000168	597.4431	0.01459312	0.0971055	0.8162338	0.9645709
ENSMUSG00000000171	378.8207	-0.0315572	0.10034038	0.6109364	0.9100232
ENSMUSG00000000182	2.203602	-0.003844772	0.14113546	0.8299099	NA
ENSMUSG00000000184	289.6642	0.008576794	0.12247393	0.8464544	0.9725336
ENSMUSG00000000194	343.1338	0.08540348	0.11539828	0.139587	0.6216179
ENSMUSG00000000197	1522.17	-0.01879374	0.08025415	0.7621156	0.9538632
ENSMUSG00000000202	80.01218	0.04375427	0.12753024	0.3156209	0.7776736
ENSMUSG00000000204	0.174983	0	0.1521201	1	NA
ENSMUSG00000000214	73.81575	-0.2442387	0.3723327	0.0008568118	0.1091738
ENSMUSG00000000215	0.1421733	0	0.1521201	1	NA
ENSMUSG00000000216	2.093501	0.009304399	0.146764	0.4602953	NA
ENSMUSG00000000223	607.4827	-0.1029722	0.10750346	0.0966331	0.5706215
ENSMUSG00000000244	1.244985	-0.005930579	0.14850624	0.5332844	NA
ENSMUSG00000000247	90.15544	0.03662097	0.12080019	0.45069	0.8492301
ENSMUSG00000000248	0.08261244	-0.0002941768	0.15213387	0.9561245	NA
ENSMUSG00000000253	272.0108	0.009782227	0.11150142	0.8605761	0.9747967
ENSMUSG00000000263	4.544431	-0.005061624	0.13914031	0.8089618	NA
